"","Seller_ID","Product","Seller","Star","No.ofRatings","Price","Shipping_Info","COD","Positive","Amazon_Fulfilled","URL","Rev_URL"
"729","A1ITV0G06LW66Y","Electric Heat Bag Hot Gel Bottle Pouc...","P S Overses",NA,NA,"  Rs. 510.00"," FREE Delivery. 
","  Rs. 510.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_7/277-0772872-6759865?ie=UTF8&asin=B00MK26LKY&isAmazonFulfilled=0&seller=A1ITV0G06LW66Y","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A1ITV0G06LW66Y&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"730","A1T777KFKD497H","Electric Heat Bag Hot Gel Bottle Pouc...",NA,NA,NA,"  Rs. 490.00"," +   Rs. 62.05
Delivery 
","  Rs. 490.00 +   Rs. 62.05  DeliveryCash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_8/277-0772872-6759865?ie=UTF8&asin=B00MK26LKY&isAmazonFulfilled=0&seller=A1T777KFKD497H","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A1T777KFKD497H&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"731","AFFSLKRTBLGXE","Electric Heat Bag Hot Gel Bottle Pouc...",NA,NA,NA,"  Rs. 510.00"," +   Rs. 50.00
Delivery 
","  Rs. 510.00 +   Rs. 50.00  DeliveryCash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_9/277-0772872-6759865?ie=UTF8&asin=B00MK26LKY&isAmazonFulfilled=0&seller=AFFSLKRTBLGXE","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=AFFSLKRTBLGXE&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"732","A2L9DY4DJNPXEA","Electric Heat Bag Hot Gel Bottle Pouc...","HomeNeedz",NA,NA,"  Rs. 599.00"," FREE Delivery. 
","  Rs. 599.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_10/277-0772872-6759865?ie=UTF8&asin=B00MK26LKY&isAmazonFulfilled=0&seller=A2L9DY4DJNPXEA","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2L9DY4DJNPXEA&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"733","A8126SJXXZMAQ","Electric Heat Bag Hot Gel Bottle Pouc...","HM IMPEX",NA,NA,"  Rs. 510.00"," FREE Delivery. 
","  Rs. 510.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_1/275-2637003-3250760?ie=UTF8&asin=B00MK26LKY&isAmazonFulfilled=0&seller=A8126SJXXZMAQ","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A8126SJXXZMAQ&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"734","A24NPOBO2OB7LH","Electric Heat Bag Hot Gel Bottle Pouc...","SUPERDOME",NA,NA,"  Rs. 510.00"," FREE Delivery. 
","  Rs. 510.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_2/275-2637003-3250760?ie=UTF8&asin=B00MK26LKY&isAmazonFulfilled=0&seller=A24NPOBO2OB7LH","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A24NPOBO2OB7LH&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"735","A19RDI9ICOKTCI","Electric Heat Bag Hot Gel Bottle Pouc...",NA,NA,NA,"  Rs. 510.00"," FREE Delivery. 
","  Rs. 510.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_3/275-2637003-3250760?ie=UTF8&asin=B00MK26LKY&isAmazonFulfilled=0&seller=A19RDI9ICOKTCI","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A19RDI9ICOKTCI&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"736","A24NPOBO2OB7LH","Electric Heat Bag Hot Gel Bottle Pouc...","SUPERDOME",NA,NA,"  Rs. 530.00"," FREE Delivery. 
","  Rs. 530.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_4/275-2637003-3250760?ie=UTF8&asin=B00MK26LKY&isAmazonFulfilled=0&seller=A24NPOBO2OB7LH","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A24NPOBO2OB7LH&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"737","A209S6H0LG4TX7","Electric Heat Bag Hot Gel Bottle Pouc...",NA,"5.0","1","  Rs. 530.00"," FREE Delivery. 
","  Rs. 530.00 FREE Delivery.Cash on Delivery eligible ","100% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_5/275-2637003-3250760?ie=UTF8&asin=B00MK26LKY&isAmazonFulfilled=0&seller=A209S6H0LG4TX7","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A209S6H0LG4TX7&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"738","A8126SJXXZMAQ","Electric Heat Bag Hot Gel Bottle Pouc...","HM IMPEX",NA,NA,"  Rs. 530.00"," FREE Delivery. 
","  Rs. 530.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_6/275-2637003-3250760?ie=UTF8&asin=B00MK26LKY&isAmazonFulfilled=0&seller=A8126SJXXZMAQ","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A8126SJXXZMAQ&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
