"","Seller_ID","Product","Seller","Star","No.ofRatings","Price","Shipping_Info","COD","Positive","Amazon_Fulfilled","URL","Rev_URL"
"1","A358H12RHFNIGY","Ganesh Vegetable & Fruit Chopper Cutt...","INDIA RETAIL","4.5","12,821","  Rs. 255.00"," Free Delivery on eligible orders. Details 
","  Rs. 255.00 Free Delivery on eligible orders. Cash on Delivery eligible ","92% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_1/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=A358H12RHFNIGY","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A358H12RHFNIGY&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"2","A14UQ4H17XUX90","Ganesh Vegetable & Fruit Chopper Cutt...","Cloudtail","4.4","454,420","  Rs. 255.00"," Free Delivery on eligible orders. Details 
","  Rs. 255.00 Free Delivery on eligible orders. Cash on Delivery eligible ","91% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_2/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=A14UQ4H17XUX90","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A14UQ4H17XUX90&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"3","AR866CMPPWXAH","Ganesh Vegetable & Fruit Chopper Cutt...",NA,"4.6","84","  Rs. 257.00"," FREE Delivery. 
","  Rs. 257.00 FREE Delivery.Cash on Delivery eligible ","95% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_3/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=AR866CMPPWXAH","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=AR866CMPPWXAH&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"4","A38795BN2F85K1","Ganesh Vegetable & Fruit Chopper Cutt...","SHOPPER'S CHOICE","3.5","295","  Rs. 259.00"," Free Delivery on eligible orders. Details 
","  Rs. 259.00 Free Delivery on eligible orders. Cash on Delivery eligible ","64% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_4/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=A38795BN2F85K1","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A38795BN2F85K1&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"5","AMEFQDTRODDVH","Ganesh Vegetable & Fruit Chopper Cutt...","Next TO You","4.2","18","  Rs. 261.00"," Free Delivery on eligible orders. Details 
","  Rs. 261.00 Free Delivery on eligible orders. Cash on Delivery eligible ","89% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_5/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=AMEFQDTRODDVH","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=AMEFQDTRODDVH&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"6","A2E4FLA5VMHWJQ","Ganesh Vegetable & Fruit Chopper Cutt...","The Home and Kitchen store","4.2","162","  Rs. 262.00"," Free Delivery on eligible orders. Details 
","  Rs. 262.00 Free Delivery on eligible orders. Cash on Delivery eligible ","85% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_6/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=A2E4FLA5VMHWJQ","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2E4FLA5VMHWJQ&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"7","A8FEAG2BMFY5U","Ganesh Vegetable & Fruit Chopper Cutt...",NA,"4.4","143","  Rs. 280.00"," Free Delivery on eligible orders. Details 
","  Rs. 280.00 Free Delivery on eligible orders. Cash on Delivery eligible ","88% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_7/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=A8FEAG2BMFY5U","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A8FEAG2BMFY5U&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"8","A3L8R6XXQHFTH7","Ganesh Vegetable & Fruit Chopper Cutt...","store of Gifts","3.6","29","  Rs. 299.00"," FREE Delivery. 
","  Rs. 299.00 FREE Delivery.Cash on Delivery eligible ","59% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_8/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A3L8R6XXQHFTH7","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A3L8R6XXQHFTH7&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"9","A26TW223WDQX0K","Ganesh Vegetable & Fruit Chopper Cutt...","Hans Home Appliances",NA,NA,"  Rs. 300.00"," FREE Delivery. 
","  Rs. 300.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_9/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A26TW223WDQX0K","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A26TW223WDQX0K&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"10","A1QYA8GLZZ4ZXK","Ganesh Vegetable & Fruit Chopper Cutt...","One STOP Shop","4.2","991","  Rs. 340.00"," Free Delivery on eligible orders. Details 
","  Rs. 340.00 Free Delivery on eligible orders. Cash on Delivery eligible ","85% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_10/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=A1QYA8GLZZ4ZXK","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A1QYA8GLZZ4ZXK&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"11","A2XEGU69DX296U","Ganesh Vegetable & Fruit Chopper Cutt...","Malhotra Gift House",NA,NA,"  Rs. 240.00"," +   Rs. 100.00
Delivery 
","  Rs. 240.00 +   Rs. 100.00  DeliveryCash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_1/277-6532678-3332021?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A2XEGU69DX296U","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2XEGU69DX296U&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"12","A1JWX1T4SASH8M","Ganesh Vegetable & Fruit Chopper Cutt...","Infinite Stock","4.2","1,546","  Rs. 349.00"," Free Delivery on eligible orders. Details 
","  Rs. 349.00 Free Delivery on eligible orders. Cash on Delivery eligible ","83% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_2/277-6532678-3332021?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=A1JWX1T4SASH8M","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A1JWX1T4SASH8M&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"13","AIZL4GG92SFLH","Ganesh Vegetable & Fruit Chopper Cutt...","Jumboarivar","4.5","209","  Rs. 349.00"," Free Delivery on eligible orders. Details 
","  Rs. 349.00 Free Delivery on eligible orders. Cash on Delivery eligible ","93% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_3/277-6532678-3332021?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=AIZL4GG92SFLH","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=AIZL4GG92SFLH&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"14","A18ON5LA2D7LJX","Ganesh Vegetable & Fruit Chopper Cutt...","Story @ Home","4.4","1,558","  Rs. 349.00"," Free Delivery on eligible orders. Details 
","  Rs. 349.00 Free Delivery on eligible orders. Cash on Delivery eligible ","95% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_4/277-6532678-3332021?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=A18ON5LA2D7LJX","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A18ON5LA2D7LJX&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"15","A2QRMH6ELHFRQ7","Ganesh Vegetable & Fruit Chopper Cutt...","MumbaiTraders","2.8","4","  Rs. 349.00"," FREE Delivery. 
","  Rs. 349.00 FREE Delivery.Cash on Delivery eligible ","25% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_5/277-6532678-3332021?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A2QRMH6ELHFRQ7","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2QRMH6ELHFRQ7&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"16","A1E48OF1JA2JBL","Ganesh Vegetable & Fruit Chopper Cutt...","Shiv enterpriese",NA,NA,"  Rs. 250.00"," +   Rs. 100.00
Delivery 
","  Rs. 250.00 +   Rs. 100.00  DeliveryCash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_6/277-6532678-3332021?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A1E48OF1JA2JBL","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A1E48OF1JA2JBL&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"17","A17JR04I46UJ54","Ganesh Vegetable & Fruit Chopper Cutt...","frontier enterprises","3.1","18","  Rs. 350.00"," FREE Delivery. 
","  Rs. 350.00 FREE Delivery.Cash on Delivery eligible ","44% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_7/277-6532678-3332021?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A17JR04I46UJ54","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A17JR04I46UJ54&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"18","A3962O6MS9P7PL","Ganesh Vegetable & Fruit Chopper Cutt...","Shopais","4.1","107","  Rs. 253.00"," +   Rs. 100.00
Delivery 
","  Rs. 253.00 +   Rs. 100.00  DeliveryCash on Delivery eligible ","84% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_8/277-6532678-3332021?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A3962O6MS9P7PL","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A3962O6MS9P7PL&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"19","A3QAARRRMMXZJH","Ganesh Vegetable & Fruit Chopper Cutt...","Abhiman Electricals","3.9","223","  Rs. 255.00"," +   Rs. 99.00
Delivery 
","  Rs. 255.00 +   Rs. 99.00  Delivery","76% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_9/277-6532678-3332021?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A3QAARRRMMXZJH","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A3QAARRRMMXZJH&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"20","A2S75CPY9XKJ4F","Ganesh Vegetable & Fruit Chopper Cutt...","JS ONLINE TRADERS","4.1","768","  Rs. 300.00"," +   Rs. 60.00
Delivery 
","  Rs. 300.00 +   Rs. 60.00  DeliveryCash on Delivery eligible ","81% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_10/277-6532678-3332021?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A2S75CPY9XKJ4F","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2S75CPY9XKJ4F&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"21","A2S75CPY9XKJ4F","Ganesh Vegetable & Fruit Chopper Cutt...","JS ONLINE TRADERS","4.1","768","  Rs. 300.00"," +   Rs. 60.00
Delivery 
","  Rs. 300.00 +   Rs. 60.00  DeliveryCash on Delivery eligible ","81% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_1/277-7184676-6936020?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A2S75CPY9XKJ4F","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2S75CPY9XKJ4F&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"22","AJHPQOP3Y53NY","Ganesh Vegetable & Fruit Chopper Cutt...","A3K Enterprises","3.3","72","  Rs. 310.00"," +   Rs. 60.00
Delivery 
","  Rs. 310.00 +   Rs. 60.00  DeliveryCash on Delivery eligible ","57% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_2/277-7184676-6936020?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=AJHPQOP3Y53NY","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=AJHPQOP3Y53NY&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"23","A1EJN3OG6XS4VI","Ganesh Vegetable & Fruit Chopper Cutt...","jain bartan store","2.0","1","  Rs. 325.00"," +   Rs. 49.19
Delivery 
","  Rs. 325.00 +   Rs. 49.19  DeliveryCash on Delivery eligible ","0% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_3/277-7184676-6936020?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A1EJN3OG6XS4VI","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A1EJN3OG6XS4VI&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"24","A29QNCEO6R4P2G","Ganesh Vegetable & Fruit Chopper Cutt...","AMAZE SALES",NA,NA,"  Rs. 325.00"," +   Rs. 49.19
Delivery 
","  Rs. 325.00 +   Rs. 49.19  Delivery","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_4/277-7184676-6936020?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A29QNCEO6R4P2G","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A29QNCEO6R4P2G&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"25","A3KU210EN7XWM1","Ganesh Vegetable & Fruit Chopper Cutt...","utensils junction","3.0","2","  Rs. 250.00"," +   Rs. 127.91
Delivery 
","  Rs. 250.00 +   Rs. 127.91  Delivery","50% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_5/277-7184676-6936020?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A3KU210EN7XWM1","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A3KU210EN7XWM1&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"26","A37TOEK10PD3NP","Ganesh Vegetable & Fruit Chopper Cutt...","Paras Sales Corporation","3.7","19","  Rs. 299.00"," +   Rs. 80.00
Delivery 
","  Rs. 299.00 +   Rs. 80.00  DeliveryCash on Delivery eligible ","58% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_6/277-7184676-6936020?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A37TOEK10PD3NP","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A37TOEK10PD3NP&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"27","A1YZZEEIQHJPTI","Ganesh Vegetable & Fruit Chopper Cutt...","Mohit Trading",NA,NA,"  Rs. 380.00"," FREE Delivery. 
","  Rs. 380.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_7/277-7184676-6936020?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A1YZZEEIQHJPTI","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A1YZZEEIQHJPTI&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"28","A2U8C2OYIEFCD0","Ganesh Vegetable & Fruit Chopper Cutt...","Hari Potter",NA,NA,"  Rs. 380.00"," FREE Delivery. 
","  Rs. 380.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_8/277-7184676-6936020?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A2U8C2OYIEFCD0","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2U8C2OYIEFCD0&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"29","A8KSB5KK9UZNW","Ganesh Vegetable & Fruit Chopper Cutt...","direct ration","4.0","23","  Rs. 399.00"," FREE Delivery. 
","  Rs. 399.00 FREE Delivery.Cash on Delivery eligible ","70% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_9/277-7184676-6936020?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A8KSB5KK9UZNW","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A8KSB5KK9UZNW&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"30","AN412HXJ43CX0","Ganesh Vegetable & Fruit Chopper Cutt...","SHIVANI ARTS","4.0","2","  Rs. 299.00"," +   Rs. 100.00
Delivery 
","  Rs. 299.00 +   Rs. 100.00  DeliveryCash on Delivery eligible ","50% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_10/277-7184676-6936020?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=AN412HXJ43CX0","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=AN412HXJ43CX0&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"31","A1X9FRLEHS0EFA","Ganesh Vegetable & Fruit Chopper Cutt...","NIARA","3.6","22","  Rs. 399.00"," FREE Delivery. 
","  Rs. 399.00 FREE Delivery.Cash on Delivery eligible ","68% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_1/280-0092411-5319117?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A1X9FRLEHS0EFA","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A1X9FRLEHS0EFA&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"32","A2O2VUS5VSP30V","Ganesh Vegetable & Fruit Chopper Cutt...","DHARA DESIGNS",NA,NA,"  Rs. 350.00"," +   Rs. 49.19
Delivery 
","  Rs. 350.00 +   Rs. 49.19  DeliveryCash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_2/280-0092411-5319117?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A2O2VUS5VSP30V","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2O2VUS5VSP30V&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"33","AZQJQ806OZH9J","Ganesh Vegetable & Fruit Chopper Cutt...","renterpriseshyd",NA,NA,"  Rs. 350.00"," +   Rs. 49.19
Delivery 
","  Rs. 350.00 +   Rs. 49.19  Delivery","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_3/280-0092411-5319117?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=AZQJQ806OZH9J","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=AZQJQ806OZH9J&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"34","A2XF4YH4AOZOO1","Ganesh Vegetable & Fruit Chopper Cutt...","Kitchen Palace","3.3","14","  Rs. 250.00"," +   Rs. 150.00
Delivery 
","  Rs. 250.00 +   Rs. 150.00  DeliveryCash on Delivery eligible ","57% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_4/280-0092411-5319117?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A2XF4YH4AOZOO1","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2XF4YH4AOZOO1&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"35","A1086HQNVXGG27","Ganesh Vegetable & Fruit Chopper Cutt...","URBANEXP","4.0","8","  Rs. 159.00"," +   Rs. 244.30
Delivery 
","  Rs. 159.00 +   Rs. 244.30  Delivery","63% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_5/280-0092411-5319117?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A1086HQNVXGG27","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A1086HQNVXGG27&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"36","A39CI39WXRP94E","Ganesh Vegetable & Fruit Chopper Cutt...","Steadfast Arcade",NA,NA,"  Rs. 320.00"," +   Rs. 100.00
Delivery 
","  Rs. 320.00 +   Rs. 100.00  DeliveryCash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_6/280-0092411-5319117?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A39CI39WXRP94E","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A39CI39WXRP94E&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"37","A2YZ363U5KGHKN","Ganesh Vegetable & Fruit Chopper Cutt...","Navisha Enterprises","3.1","38","  Rs. 270.00"," +   Rs. 150.00
Delivery 
","  Rs. 270.00 +   Rs. 150.00  DeliveryCash on Delivery eligible ","50% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_7/280-0092411-5319117?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A2YZ363U5KGHKN","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2YZ363U5KGHKN&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"38","A11SN6M9JXQO90","Ganesh Vegetable & Fruit Chopper Cutt...","Kumar Metals","3.6","16","  Rs. 350.00"," +   Rs. 70.00
Delivery 
","  Rs. 350.00 +   Rs. 70.00  DeliveryCash on Delivery eligible ","75% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_8/280-0092411-5319117?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A11SN6M9JXQO90","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A11SN6M9JXQO90&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"39","A2HABETXWJ0RP7","Ganesh Vegetable & Fruit Chopper Cutt...","Enivid Sales","4.1","628","  Rs. 310.00"," +   Rs. 127.91
Delivery 
","  Rs. 310.00 +   Rs. 127.91  DeliveryCash on Delivery eligible ","80% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_9/280-0092411-5319117?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A2HABETXWJ0RP7","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2HABETXWJ0RP7&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"40","A24NPOBO2OB7LH","Ganesh Vegetable & Fruit Chopper Cutt...","SUPERDOME",NA,NA,"  Rs. 439.00"," FREE Delivery. 
","  Rs. 439.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_10/280-0092411-5319117?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A24NPOBO2OB7LH","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A24NPOBO2OB7LH&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"41","A3KXRSTB22EP9R","Ganesh Vegetable & Fruit Chopper Cutt...","GHANSHYAM GLOBAL","1.0","1","  Rs. 400.00"," +   Rs. 49.19
Delivery 
","  Rs. 400.00 +   Rs. 49.19  DeliveryCash on Delivery eligible ","0% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_1/279-7310642-2196805?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A3KXRSTB22EP9R","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A3KXRSTB22EP9R&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
