"","Seller_ID","Rating","Review","Reviewer_Date"
"55","A2E4FLA5VMHWJQ","2/5:","""Hi, I Received Tosaa 12 cavity Appam Patra with side handle on 25.01.2016 at 5.00 PM it was damaged. Please replace it immidiatly

Order # 171-1873455-0636319"""," mahesh , 27 January 2016"
"56","A2E4FLA5VMHWJQ","4/5:","""Thought that the rear side of the Tawa will be plane surface but it was uneven globe. Hence forth show the picture of back side also"""," MURALIDHARAN RAJALINGAM, 27 January 2016"
"57","A2E4FLA5VMHWJQ","5/5:","""Very nice for gifting really happy with the way it was packed"""," sajida imran khan, 25 January 2016"
"58","A2E4FLA5VMHWJQ","5/5:","""Too good this is 2nd time I got it"""," Aparna, 25 January 2016"
"59","A2E4FLA5VMHWJQ","5/5:","""excellent beautiful gift item"""," Snigdha D., 24 January 2016"
"60","A2E4FLA5VMHWJQ","4/5:","""Delivery not satisfactory"""," RAJAN, 23 January 2016"
"61","A2E4FLA5VMHWJQ","3/5:","""Good and useful product with should have 3blades"""," SHAJ, 23 January 2016"
"62","A2E4FLA5VMHWJQ","5/5:","""Good"""," Amazon Customer, 21 January 2016"
"63","A2E4FLA5VMHWJQ","5/5:","""Good service all together from Amazon ttea"""," Amazon Customer, 21 January 2016"
"64","A2E4FLA5VMHWJQ","4/5:","""please call the given numer for delivery details 9789714903"""," Tamil, 20 January 2016"
"65","A2E4FLA5VMHWJQ","1/5:","""Pls update me on the status of the Product"""," taranayar , 20 January 2016"
"66","A2E4FLA5VMHWJQ","5/5:","""Great Product"""," Faraz F., 18 January 2016"
"67","A2E4FLA5VMHWJQ","4/5:","""Ek no. Product hai...."""," Saurabh K., 15 January 2016"
"68","A2E4FLA5VMHWJQ","5/5:","""Good product, prompt response"""," Sharmila , 15 January 2016"
"69","A2E4FLA5VMHWJQ","5/5:","""Timely delivery"""," Sharmila , 15 January 2016"
"70","A2E4FLA5VMHWJQ","5/5:","""it is good......................"""," Amazon Customer, 14 January 2016"
"71","A2E4FLA5VMHWJQ","3/5:","""Good"""," abineshwari, 13 January 2016"
"72","A2E4FLA5VMHWJQ","5/5:","""good"""," P601, 12 January 2016"
"73","A2E4FLA5VMHWJQ","1/5:","""Very poor .... Item is not as shown in pic"""," ISHANT , 10 January 2016"
"74","A2E4FLA5VMHWJQ","5/5:","""very good service"""," Anuradha Deb, 9 January 2016"
"75","A2E4FLA5VMHWJQ","5/5:","""Very good service and on time delivery..."""," Maloji Salunke, 8 January 2016"
"76","A2E4FLA5VMHWJQ","1/5:","""Do Not Buy this Product. I got completely different Product. Color is Different - I got Silver Colored Bowls, Design is different. Spoons are Missing.

I din't Except this from Amazon. I am not satisfied with this Product."""," Amazon Customer, 5 January 2016"
"77","A2E4FLA5VMHWJQ","1/5:","""Pathetic! why you need more address details when other two items in same order can be delivered and not the third one"""," Amit P., 5 January 2016"
"78","A2E4FLA5VMHWJQ","5/5:","""Good work in Delivery Dates"""," Amazon Customer, 4 January 2016"
"79","A2E4FLA5VMHWJQ","5/5:","""Totally Good, above my expectetions, Thank You"""," Amazon Customer, 4 January 2016"
"80","A2E4FLA5VMHWJQ","4/5:","""no comments"""," krishna k., 4 January 2016"
"81","A2E4FLA5VMHWJQ","4/5:","""Overall good met with price"""," Naushad T., 4 January 2016"
"82","A2E4FLA5VMHWJQ","5/5:","""Grt"""," UDITA N., 4 January 2016"
"83","A2E4FLA5VMHWJQ","5/5:","""No conversation between me and seller"""," Amazon Customer, 3 January 2016"
"84","A2E4FLA5VMHWJQ","4/5:","""Your service  is good . Iordered  one shirt  the size small  Iwill  request replace the shirt still no reply"""," mayammabm, 2 January 2016"
"85","A2E4FLA5VMHWJQ","5/5:","""Awesome"""," Venkat, 1 January 2016"
"86","A2E4FLA5VMHWJQ","3/5:","""Very Good"""," Amazon Customer, 1 January 2016"
"87","A2E4FLA5VMHWJQ","5/5:","""Excellent"""," jatinder singh bedi, 1 January 2016"
"88","A2E4FLA5VMHWJQ","5/5:","""Beautiful as described"""," Simmy, 1 January 2016"
"89","A2E4FLA5VMHWJQ","5/5:","""hello,

I am looking for more 30 to 40 unit.

Kindly provide your contact number or call me on 8983102801."""," nilesh, 31 December 2015"
"90","A2E4FLA5VMHWJQ","5/5:","""excellent product & service but need for cod option"""," Amazon Customer, 31 December 2015"
"91","A2E4FLA5VMHWJQ","2/5:","""Poor quality and the non-stick not of  good quality, waste of money."""," Meenakshi, 31 December 2015"
"92","A2E4FLA5VMHWJQ","1/5:","""Very Bad Service yet not delivered"""," Trupti J., 30 December 2015"
"93","A2E4FLA5VMHWJQ","4/5:","""A sturdy looking product, functioning well."""," G.Rajagopal, 30 December 2015"
"94","A2E4FLA5VMHWJQ","4/5:","""Hello,

We were very happy with the products and service .So we ordered another 5 sets but unfortunately we were unable to receive the latest order and no one contacted us from the courier services and order reflects as undelivered and return back to the facility .

Its really disheartening and now we are short of time .This is very disaapointing."""," Poonam T., 29 December 2015"
"95","A2E4FLA5VMHWJQ","3/5:","""Hello,

We have placed another order of German silver  Bowl,Spoon and Tray Gift set.but unfortunately we have received the gift and it has dispatched back .As everyone was there at Home.

As we already have our money with you ,can you please dispatch it on the same address.

Kindly Confirm

Many Thanks

Best Regards,

Poonam Tripathi"""," Poonam T., 29 December 2015"
"96","A2E4FLA5VMHWJQ","4/5:","""Item was delivered very promptly but one of the wine glass  had little scratches, but since I wanted to gift this and did not had time to request replacement hence accepted.."""," Jyoti C., 28 December 2015"
"97","A2E4FLA5VMHWJQ","4/5:","""Good product. Worth buying....."""," gouranga b., 28 December 2015"
"98","A2E4FLA5VMHWJQ","5/5:","""Good product"""," Amazon Customer, 28 December 2015"
"99","A2E4FLA5VMHWJQ","1/5:","""Not bad"""," rama , 24 December 2015"
"100","A2E4FLA5VMHWJQ","5/5:","""really looking good item for this cost"""," M S., 23 December 2015"
"101","A2E4FLA5VMHWJQ","5/5:","""Excellent service... thanks"""," Amazon Customer, 23 December 2015"
"102","A2E4FLA5VMHWJQ","4/5:","""Very good"""," Amazon Customer, 23 December 2015"
"103","A2E4FLA5VMHWJQ","4/5:","""Excellent product & service by Amazon"""," SHAILESH DESAI, 18 December 2015"
"104","A2E4FLA5VMHWJQ","4/5:","""Timely delivered"""," Shashi, 18 December 2015"
"105","A2E4FLA5VMHWJQ","4/5:","""Good product, worth for money."""," sony k., 16 December 2015"
"106","A2E4FLA5VMHWJQ","4/5:","""I should have bought around 30cm appam patra. However, this one is good as well."""," Kumaraswamy M., 6 December 2015"
"107","A2E4FLA5VMHWJQ","5/5:","""Super excellent product with super fast delivery ....A++++++++++++++++"""," Sudipto Mallick, 3 December 2015"
"108","A2E4FLA5VMHWJQ","4/5:","""The item was same as shown.but the velvet box which they used was not the same as in the picture...quality of the box in the pix was much btr.hope ul see to it and deliver me the best product with best quality as shown for the nxt order that il b placing in 2-3 days."""," Shruthi Reddy, 2 December 2015"
"109","A2E4FLA5VMHWJQ","4/5:","""GOOD PACKAGING"""," Tejinder S., 30 November 2015"
"110","A2E4FLA5VMHWJQ","5/5:","""It's nice gift, exactly what I expected."""," Arpita T., 25 November 2015"
"111","A2E4FLA5VMHWJQ","4/5:","""Good product"""," Dibyendu C., 23 November 2015"
"112","A2E4FLA5VMHWJQ","1/5:","""I want to return the goods as they are very bad in quality"""," Amazon Customer, 23 November 2015"
"113","A2E4FLA5VMHWJQ","5/5:","""thick should have been a bit more thick and it is having less weight but working really well"""," vathsava, 22 November 2015"
"114","A2E4FLA5VMHWJQ","1/5:","""did not receive yet..wanted the product an not refund..could not contact the seller as no direct contact available.very depressed. found other shopping services better...no direct contact of amazon care center too...hopeless.seller did not enquire with the courier about proper shipment till the destination (given address)...i.e jaigad though amazon says that service available at pin code 415614"""," Amazon Customer, 22 November 2015"
"115","A2E4FLA5VMHWJQ","5/5:","""ADVANCE DELIVERY ,GOOD PRODUCT"""," Amazon Customer, 21 November 2015"
"116","A2E4FLA5VMHWJQ","5/5:","""excellent item for gifting"""," Dove, 20 November 2015"
"117","A2E4FLA5VMHWJQ","4/5:","""thanks"""," rupendra, 20 November 2015"
"118","A2E4FLA5VMHWJQ","5/5:","""Excellent product for gifting"""," Dove, 20 November 2015"
"119","A2E4FLA5VMHWJQ","4/5:","""Tawa quality is good at this price."""," Amit V., 19 November 2015"
"120","A2E4FLA5VMHWJQ","4/5:","""good item"""," rajendran pullur, 19 November 2015"
"121","A2E4FLA5VMHWJQ","5/5:","""I have received this product on time well packed, if any one interested to buy such product you may buy the items through this sellar"""," Gerald , 19 November 2015"
"122","A2E4FLA5VMHWJQ","4/5:","""good gift set at this rate . Design is very beautiful . Looks like real silver though havnt used this. Overall product is satisfactory."""," monica, 18 November 2015"
"123","A2E4FLA5VMHWJQ","5/5:","""Very nice....

Keep it up. Would love to shop in future for sure. Very fast and effective service. Better service than any other online shopping portal.best experience till date."""," shreya , 18 November 2015"
"124","A2E4FLA5VMHWJQ","3/5:","""i was charged extra for gift packing with personal greetings for all 4 items separately ... all 4 came in one box ... No gift packing ..."""," Amazon Customer, 17 November 2015"
"125","A2E4FLA5VMHWJQ","5/5:","""Delivered the items before time and kept the sentiments of Indian customs and festivals. Under promise and over deliver is a great policy. Personally I really was thrilled when the product arrived just one day before Diwali. It really put a smile on face. The product was same as displayed. The packing was good. Quality for the money spent. More than anything the vendor has activated a trust factor"""," Sajesh Nair, 17 November 2015"
"126","A2E4FLA5VMHWJQ","4/5:","""good item"""," satender b., 16 November 2015"
"127","A2E4FLA5VMHWJQ","4/5:","""good"""," Ramesh p., 16 November 2015"
"128","A2E4FLA5VMHWJQ","2/5:","""One of the silver bowls had a hole and since I was leaving the country could not even return the product"""," rita, 16 November 2015"
"129","A2E4FLA5VMHWJQ","5/5:","""very good item"""," Amazon Customer, 16 November 2015"
"130","A2E4FLA5VMHWJQ","2/5:","""Quality is not good for daily purpose."""," Sonia Kaushik, 16 November 2015"
"131","A2E4FLA5VMHWJQ","5/5:","""Excellent Service & Product"""," Sameer S., 15 November 2015"
"132","A2E4FLA5VMHWJQ","5/5:","""Recipent enjoyed the gift"""," HANUMANTHA RAO POCHIRAJU, 14 November 2015"
"133","A2E4FLA5VMHWJQ","3/5:","""the quality is good, but have very small dent on one of the cavity. it donot contain the apatula that usually appe makers have."""," Deepa, 14 November 2015"
"134","A2E4FLA5VMHWJQ","2/5:","""Ordered 14 pieces with gift wrapped. On reaching there the box was half open the items weren't gift wrapped on top only 13 pieces were there instead of 14."""," Dayanand, 12 November 2015"
"135","A2E4FLA5VMHWJQ","4/5:","""product rcvd before estimated delivery date...product is very good."""," Amazon Customer, 12 November 2015"
"136","A2E4FLA5VMHWJQ","5/5:","""Very good product prompt delivery no complaints keep it up"""," P M DWARAKANATH, 12 November 2015"
"137","A2E4FLA5VMHWJQ","5/5:","""Good"""," manisha , 11 November 2015"
"138","A2E4FLA5VMHWJQ","4/5:","""The set looks lovely, although its very small in size."""," Sumana, 9 November 2015"
"139","A2E4FLA5VMHWJQ","5/5:","""Prompt delivery, Excellent"""," Amazon Customer, 9 November 2015"
"140","A2E4FLA5VMHWJQ","5/5:","""chopper was very nice and excellent service..."""," PAVITHRA U., 9 November 2015"
"141","A2E4FLA5VMHWJQ","4/5:","""Nice product"""," Ankit, 8 November 2015"
"142","A2E4FLA5VMHWJQ","4/5:","""It is very good"""," S J John, 7 November 2015"
"143","A2E4FLA5VMHWJQ","4/5:","""Great Diwali gift!!"""," Pavan Puri, 6 November 2015"
"144","A2E4FLA5VMHWJQ","3/5:","""the product is too light ."""," YK NEGI, 6 November 2015"
"145","A2E4FLA5VMHWJQ","5/5:","""Excellent staff of amazon. Always ready to help."""," Ajita M., 5 November 2015"
